"dimGoodsID","categoryID1","categoryName1","categoryID2","categoryName2","categoryID3","categoryName3","categoryID4","categoryName4","branName","name"
"1170952","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","阿拉老酒","阿拉老酒原味纯酿白糯米酒2.5L"
"1170953","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","郑万利","郑万利五年陈酿加饭酒3.75L"
"1170954","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","郑万利","郑万利纯酿白糯米酒750ml"
"1170955","10","烟酒纯鲜奶","11","酒","7","礼盒酒","6","礼盒装进口酒","郑万利","郑万利珍珠黑糯米酒750ml"
"1170957","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","女儿红","女儿红如意精酿特型黄酒500ml"
"1170959","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","女儿红","女儿红五年陈精品黄酒1.5L"
"1170960","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","女儿红","女儿红精品黄酒3L"
"1170961","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","女儿红","女儿红精品六年陈特型黄酒2.55L"
"1170965","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","甬江","甬江特制香米酒500ml"
"1170966","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","甬江","甬江特制五年加饭酒3.75L"
"1170967","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","红万寿","红万寿白糯米酒600ml"
"1170969","10","烟酒纯鲜奶","11","酒","7","礼盒酒","6","礼盒装进口酒","红万寿","红万寿黑糯米酒600ml"
"1170970","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","甬江","金五年甬江老酒330ml"
"1170972","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","生龙","生龙米之清酒500ml"
"1170973","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","阿拉","阿拉三年陈加饭酒2.4L"
"1170984","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","古越龙山","古越龙山金5年花雕酒14度370ml"
"1170985","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","古越龙山","古越龙山库藏六年库藏酒盒装11度480ml"
"1170992","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","会稽山","会稽山经典伍年陈酿纯正绍兴酒500ml"
"1170994","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","会稽山","会稽山经典叁年陈酿纯正绍兴酒500ml"
"1170996","10","烟酒纯鲜奶","11","烟","7","香烟","1","进口烟","会稽山","会稽山陈年老酒2.5L"
"1171000","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","阿拉老酒","阿拉老酒3年纯酿精品500ml"
"1171002","10","烟酒纯鲜奶","11","烟","7","香烟","4","省外烟","阿拉老酒","阿拉老酒特制营养黄酒8年陈酿330ml"
"1171003","10","烟酒纯鲜奶","11","酒","7","礼盒酒","7","礼盒果酒","生龙","生龙米之清酒1L"
"1171004","10","烟酒纯鲜奶","11","酒","7","礼盒酒","7","礼盒果酒","生龙","生龙佬米酒780g"
"1171005","10","烟酒纯鲜奶","11","酒","7","礼盒酒","7","礼盒果酒","生龙","生龙佬酒酿(米酒)390g"
"1171006","10","烟酒纯鲜奶","11","烟","7","香烟","4","省外烟","咸亨","咸亨和雕十年陈酿350ml"
"1171008","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","咸亨","咸亨土雕酒五年陈350ml"
"1171010","10","烟酒纯鲜奶","11","酒","7","礼盒酒","2","礼盒装普通白酒","咸亨","咸亨酒三年陈酿500ml"
"1171012","10","烟酒纯鲜奶","11","烟","7","香烟","3","杭产烟","咸亨","咸亨老酒五年陈酿500ml"
"1171013","10","烟酒纯鲜奶","11","酒","7","礼盒酒","5","礼盒装滋补酒","女儿红","女儿红三年纯糯米黄酒2.5L"
"1180010","10","烟酒纯鲜奶","11","烟","8","香烟","1","进口烟","劲牌","中国劲酒35度500ml"
"1180034","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","灵威","灵威健力补酒125ml"
"1180041","10","烟酒纯鲜奶","11","烟","4","香烟","3","杭产烟","泸州","泸州御酒52％125ml"
"1180053","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","劲酒","中国劲酒家庭装35度680ml"
"1180054","10","烟酒纯鲜奶","11","烟","8","香烟","1","进口烟","黄金","黄金万圣酒35度480ml"
"1180055","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","","中国劲酒35度258ml"
"1180058","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","","中国劲酒35度520ml"
"1180059","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","椰岛","椰岛鹿龟酒(露酒)33度500ml"
"1180060","10","烟酒纯鲜奶","11","烟","8","香烟","1","进口烟","黄金","黄金贵宾酒52度480ml"
"1180065","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","致中和","致中和酒35度125ml"
"1180066","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","劲牌","劲牌追风八珍酒38度158ml"
"1180067","10","烟酒纯鲜奶","11","酒","8","礼盒酒","2","礼盒装普通白酒","华佗","华佗十全酒24.5度125ml"
"1190297","10","烟酒纯鲜奶","11","酒","9","礼盒酒","7","礼盒果酒","塔牌","塔牌十年陈绍兴花雕酒礼盒500ml*2"
"1190303","10","烟酒纯鲜奶","11","酒","9","礼盒酒","7","礼盒果酒","塔牌","塔牌丽春酒礼盒375ml*4"
"1190349","10","烟酒纯鲜奶","11","酒","9","礼盒酒","7","礼盒果酒","CASTEL","CASTEL干红葡萄酒750ml"
"1190350","10","烟酒纯鲜奶","11","酒","9","礼盒酒","7","礼盒果酒","CASTEL","CASTEL干白葡萄酒750ml"
"1190354","10","烟酒纯鲜奶","11","酒","9","礼盒酒","7","礼盒果酒","阿拉","阿拉老酒十年陈酿14%(蓝坛)1.5L"
"1190356","10","烟酒纯鲜奶","11","酒","9","礼盒酒","7","礼盒果酒","阿拉","阿拉花雕酒14%(陶坛)1.5L"
"1190440","10","烟酒纯鲜奶","11","酒","9","礼盒酒","6","礼盒装进口酒","金堡","金堡图菲格干红葡萄酒750ml"
"1190441","10","烟酒纯鲜奶","11","酒","9","礼盒酒","6","礼盒装进口酒","卡特罗堡","卡特罗堡波尔多干红葡萄酒750ml"
"1190541","10","烟酒纯鲜奶","11","酒","9","礼盒酒","6","礼盒装进口酒","金堡","金堡派维朗干红葡萄酒750ml"
"1210045","10","烟酒纯鲜奶","12","酒","1","礼盒酒","2","礼盒装普通白酒","百事","百事可乐1.25L"
"1210052","10","烟酒纯鲜奶","12","酒","1","礼盒酒","5","礼盒装滋补酒","百事","百事可乐2L+七喜2L搭扣装"
"1210054","10","烟酒纯鲜奶","12","烟","1","香烟","1","进口烟","百事","百事可乐2.5L"
"1210057","10","烟酒纯鲜奶","12","烟","1","香烟","1","进口烟","百事","百事可乐2L"
"1210060","10","烟酒纯鲜奶","12","烟","1","香烟","3","杭产烟","可口可乐","可口可乐零度汽水(无糖)500ml"
"1210062","10","烟酒纯鲜奶","12","烟","1","香烟","4","省外烟","可口可乐","可口可乐汽水330ml"
"1210063","10","烟酒纯鲜奶","12","烟","1","香烟","3","杭产烟","可口可乐","零度可口可乐汽水拉罐(无糖)330ml"
"1210067","10","烟酒纯鲜奶","12","烟","1","香烟","1","进口烟","可口可乐","可口可乐汽水2.3L"
"1210069","10","烟酒纯鲜奶","12","酒","1","礼盒酒","5","礼盒装滋补酒","","百事可乐1.25L+果缤纷混合果汁1.25L搭扣装"
"1210070","10","烟酒纯鲜奶","12","酒","1","礼盒酒","5","礼盒装滋补酒","","百事可乐2L+美年达橙味汽水2L搭扣装"
"1210082","10","烟酒纯鲜奶","12","烟","1","香烟","3","杭产烟","可口可乐","可口可乐汽水500ml"
"1210083","10","烟酒纯鲜奶","12","烟","1","香烟","4","省外烟","百事可乐","百事可乐可乐型汽水330毫升"
"1210084","10","烟酒纯鲜奶","12","酒","1","礼盒酒","6","礼盒装进口酒","百事可乐","百事可乐轻怡可乐型汽水330毫升"
